9,County Name,County Code FIPS,ZIP Code Tabulation Area (5-Digit),SAEP Version,Estimated Total Population 2000,Estimated Total Population 2001,Estimated Total Population 2002,Estimated Total Population 2003,Estimated Total Population 2004,Estimated Total Population 2005,Estimated Total Population 2006,Estimated Total Population 2007,Estimated Total Population 2008,Estimated Total Population 2009,Estimated Total Population 2010,Estimated Total Population 2011,Estimated Total Population 2012,Estimated Total Population 2013,Estimated Total Population 2014,Estimated Total Population 2015,Estimated Total Population 2016,Estimated Total Population 2017,Estimated Total Population 2018,Estimated Total Population 2019,Estimated Total Population 2020,Numeric Change in Population 2000 to 2010,Percent Change in Population 2000 to 2010,Numeric Change in Population 2010 to 2020,Percent Change in Population 2010 to 2020
408,Pend Oreille,051,99139,"September 16, 2020",1221.329,1234.926,1240.071,1246.285,1248.192,1258.143,1266.144,1284.555,1294.821,1299.645,1301,1300.245,1314.079,1322.992,1334.993,1336.429,1343.449,1356.925,1358.494,1365.008,1366.702,79.671,0.06523,65.702,0.0505
409,Pend Oreille,051,99152,"September 16, 2020",180.078,182.598,183.876,185.309,186.103,188.088,189.781,193.043,195.085,196.308,197,198.756,198.821,200.407,210.421,200.16,204.435,196.931,197.729,197.557,197.393,16.922,0.09397,0.393,0.00199
410,Pend Oreille,051,99153,"September 16, 2020",453.831,457.242,457.5,458.168,457.266,459.304,460.658,465.754,467.898,468.066,467,468.284,468.79,470.361,470.471,464.933,458.977,462.803,467.676,472.089,474.401,13.169,0.02902,7.401,0.01585
411,Pend Oreille,051,99156,"September 16, 2020",7204.612,7316.557,7378.794,7447.159,7489.727,7580.192,7658.964,7801.075,7894.022,7953.772,7992,8000.607,8044.557,8068.587,8102.969,8143.705,8171.707,8219.425,8328.407,8474.911,8551.142,787.388,0.10929,559.142,0.06996
412,Pend Oreille,051,99180,"September 16, 2020",820.273,835.932,845.934,856.62,864.329,877.54,889.415,908.656,922.202,931.871,939,931.55,940.58,942.152,942.426,949.47,947.157,951.447,961.469,969.585,973.951,118.727,0.14474,34.951,0.03722
413,Pierce,053,98022,"September 16, 2020",354.01,353.724,355.106,355.983,357.267,359.232,362.982,364.675,363.842,360.834,356,357.461,359.043,368.935,377.774,383.219,398.12,418.026,430.289,442.6,456.835,1.99,0.00562,100.835,0.28324
414,Pierce,053,98047,"September 16, 2020",168.006,161.482,155.71,149.682,143.793,138.127,133.052,127.133,120.324,112.874,105,97.982,98.021,98.051,93.02,83.071,68.13,68.224,53.294,48.447,43.503,-63.006,(   37.502%),-61.497,(   58.569%)
415,Pierce,053,98092,"September 16, 2020",480.021,1124.498,1775.554,2427.43,3085.294,3754.185,4451.445,5132.543,5778.89,6383.045,6940,7168.141,7358.773,8383.274,8736.182,9035.405,9152.376,9323.684,9385.769,9399.638,9399.677,6459.979,13.4577,2459.677,0.35442
416,Pierce,053,98303,"September 16, 2020",900.023,912.476,929.258,944.768,961.433,980.036,1003.719,1021.892,1032.995,1037.778,1037,1058.341,1086.096,1129.682,1152.382,1178.746,1201.34,1243.517,1270.875,1316.959,1361.916,136.977,0.15219,324.916,0.31332
417,Pierce,053,98304,"September 16, 2020",659.169,649.761,643.408,636.08,629.431,623.921,621.385,615.19,604.727,590.756,574,581.921,587.578,597.395,597.506,599.008,625.218,630.072,640.657,653.329,658.57,-85.169,(   12.921%),84.57,0.14733
418,Pierce,053,98321,"September 16, 2020",13449.928,13601.518,13817.636,14014.716,14228.725,14471.069,14788.068,15023.366,15154.738,15193.732,15152,15073.298,15148.807,15231.579,15260.517,15342.21,15624.903,15960.607,16246.014,16623.029,16964.497,1702.072,0.12655,1812.497,0.11962
419,Pierce,053,98323,"September 16, 2020",748.02,742.4,740.276,737.064,734.669,733.637,736.183,734.482,727.681,716.599,702,701.821,691.643,691.917,691.735,697.303,717.867,748.741,749.358,752.333,778.292,-46.02,(    6.152%),76.292,0.10868
420,Pierce,053,98327,"September 16, 2020",2173.065,2778.667,3398.588,4016.803,4642.64,5282.167,5957.121,6606.837,7211.533,7765.947,8267,8492.021,8702.311,8917.5,9237.309,9312.625,9392.995,9448.581,9449.017,9489.964,9590.206,6093.935,2.8043,1323.206,0.16006
421,Pierce,053,98328,"September 16, 2020",8517.903,8697.531,8918.547,9127.719,9348.319,9588.184,9878.667,10115.693,10282.827,10386.361,10433,10458.257,10537.34,10627.958,10651.145,10694.38,10813.052,10992.548,11125.466,11299.352,11477.132,1915.097,0.22483,1044.132,0.10008
422,Pierce,053,98329,"September 16, 2020",9291.098,9389.339,9532.109,9661.71,9802.945,9963.674,10175.707,10331.419,10415.671,10436.48,10402,10431.554,10490.481,10566.088,10555.682,10661.548,10769.492,10924.613,11044.072,11276.159,11437.758,1110.902,0.11957,1035.758,0.09957
423,Pierce,053,98330,"September 16, 2020",148.275,148.146,148.715,149.069,149.596,150.405,151.966,152.665,152.303,151.034,149,151.641,151.68,152.206,151.669,152.557,153.594,155.24,156.463,159.125,160.104,0.725,0.00489,11.104,0.07452
424,Pierce,053,98332,"September 16, 2020",13130.378,13384.525,13702.375,14001.885,14318.812,14665.077,15088.501,15429.939,15664.782,15802.971,15855,15966.622,16146.926,16448.087,16821.797,17297.353,17872.324,18635.71,19522.944,20124.875,20645.323,2724.622,0.20751,4790.323,0.30213
425,Pierce,053,98333,"September 16, 2020",2803.082,2882.127,2974.941,3063.901,3156.785,3256.324,3373.323,3472.313,3547.341,3600.228,3633,3644.707,3683.264,3709.965,3728.041,3776.949,3835.994,3896.236,3967.843,4064.883,4177.822,829.918,0.29607,544.822,0.14996
426,Pierce,053,98335,"September 16, 2020",22953.657,23119.144,23394.135,23636.407,23906.781,24224.074,24665.04,24968.442,25099.065,25077.669,24925,24981.274,25084.24,25359.058,25382.657,25804.656,26243.755,26774.523,27177.729,27742.718,28175.95,1971.343,0.08588,3250.95,0.13043
427,Pierce,053,98338,"September 16, 2020",20579.813,20903.022,21325.582,21719.213,22139.522,22604.637,23187.646,23643.718,23936.361,24082.1,24098,24673.073,25294.658,25803.523,26137.121,26692.425,27085.079,27489.664,27946.661,28568.726,28921.455,3518.187,0.17095,4823.455,0.20016
428,Pierce,053,98349,"September 16, 2020",3797.153,3873.541,3968.363,4057.896,4152.486,4255.606,4381.153,4482.933,4553.743,4596.431,4614,4661.906,4707.739,4758.258,4761.178,4773.949,4829.735,4928.622,5018.096,5162.552,5287.641,816.847,0.21512,673.641,0.146
429,Pierce,053,98351,"September 16, 2020",1004.102,1013.807,1028.316,1041.397,1055.731,1072.154,1094.088,1109.952,1118.141,1119.526,1115,1107.805,1125.523,1135.417,1135.188,1151.592,1167.961,1187.354,1196.436,1230.66,1261.727,110.898,0.11044,146.727,0.13159
430,Pierce,053,98354,"September 16, 2020",4991.684,5100.544,5233.684,5359.897,5492.833,5637.113,5811.212,5953.889,6055.452,6119.528,6150,6152.982,6163.029,6207.916,6213.206,6237.511,6164.633,6229.426,6223.075,6244.799,6310.421,1158.316,0.23205,160.421,0.02608
431,Pierce,053,98360,"September 16, 2020",7662.238,8107.047,8590.976,9064.929,9551.534,10059.903,10625.217,11136.558,11571.28,11931.565,12221,12177.171,12229.026,12406.57,12583.79,12871.634,13161.273,13529.464,13852.555,14217.527,14557.492,4558.762,0.59496,2336.492,0.19119
432,Pierce,053,98371,"September 16, 2020",19711.397,19760.024,19902.033,20015.741,20152.782,20328.656,20606.951,20769.089,20787.377,20680.808,20468,20472.222,20554.784,20582.777,20726.263,20817.332,21225.133,21738.413,22310.621,22846.931,23294.185,756.603,0.03838,2826.185,0.13808
433,Pierce,053,98372,"September 16, 2020",21121.318,21227.634,21434.384,21610.929,21812.955,22057.428,22413.845,22644.652,22718.69,22655.64,22475,22676.89,22973.178,23266.171,23658.96,23909.026,24334.505,25094.76,25573.537,25885.677,26687.744,1353.682,0.06409,4212.744,0.18744
434,Pierce,053,98373,"September 16, 2020",16387.768,16950.397,17594.184,18215.659,18860.94,19546.679,20338.586,21023.084,21562.624,21966.584,22246,22297.876,22481.22,22757.734,23242.83,23591.298,23927.316,24552.202,25823.482,27045.499,27404.275,5858.232,0.35748,5158.275,0.23187
435,Pierce,053,98374,"September 16, 2020",29804.647,30518.431,31377.725,32195.704,33054.386,33981.81,35089.848,36008.995,36679.498,37122.293,37360,37445.328,37704.995,38011.439,38504.446,39232.062,40103.296,40937.378,41852.004,43748.423,45997.141,7555.353,0.2535,8637.141,0.23119
436,Pierce,053,98375,"September 16, 2020",14299.361,15534.485,16845.412,18138.62,19458.863,20826.07,22315.84,23696.464,24914.468,25968.89,26863,27054.279,27454.434,27979.194,28431.992,28981.022,29699.951,30821.127,31624.627,32358.933,32652.854,12563.639,0.87862,5789.854,0.21553
437,Pierce,053,98385,"September 16, 2020",742.02,712.745,686.774,659.661,633.17,607.649,584.736,558.094,527.551,494.193,459,459.933,460.045,460.136,460.044,460.123,460.329,460.612,460.822,505.783,525.71,-283.02,(   38.142%),66.71,0.14534
438,Pierce,053,98387,"September 16, 2020",34731.465,35527.011,36491.877,37408.523,38372.298,39415.588,40667.919,41700.848,42445.834,42927.634,43173,43939.811,44901.941,45676.072,46531.609,47313.462,47992.347,48900.988,49586.973,50439.029,50769.426,8441.535,0.24305,7596.426,0.17595
439,Pierce,053,98388,"September 16, 2020",7550.087,7535.563,7556.592,7566.698,7585.475,7618.594,7689.616,7716.829,7690.549,7618.474,7508,6384.834,6402.242,6426.516,6440.239,6495.698,6535.234,6770.963,6762.575,6763.904,6803.195,-42.087,(    0.557%),-704.805,(    9.387%)
440,Pierce,053,98390,"September 16, 2020",9452.408,9540.212,9673.237,9792.839,9924.174,10075.136,10277.812,10423.452,10496.978,10506.698,10461,10458.193,10484.511,10564.059,10625.67,10762.746,10831.189,11083.363,11213.778,11318.691,11585.344,1008.592,0.1067,1124.344,0.10748
441,Pierce,053,98391,"September 16, 2020",35609.705,36429.798,37423.532,38367.798,39360.426,40434.693,41723.439,42787.152,43555.389,44053.57,44309,44625.603,45073.99,45587.369,46528.71,48193.486,49477.737,51451.147,52964.092,54463.545,55748.965,8699.295,0.2443,11439.965,0.25819
442,Pierce,053,98394,"September 16, 2020",891.067,911.413,936.104,959.557,984.219,1010.917,1042.979,1069.408,1088.458,1100.763,1107,1111.643,1128.666,1139.175,1139.252,1156.551,1180.384,1206.294,1248.993,1271.681,1288.162,215.933,0.24233,181.162,0.16365
443,Pierce,053,98396,"September 16, 2020",475.341,493.333,513.689,533.405,553.82,575.435,600.202,621.812,639.142,652.436,662,662.714,675.726,681.969,688.123,702.31,723.592,762.168,798.787,834.154,866.345,186.659,0.39268,204.345,0.30868
444,Pierce,053,98402,"September 16, 2020",4888.506,5028.372,5192.274,5349.435,5513.46,5689.13,5895.345,6070.092,6202.961,6297.087,6356,6314.613,6424.51,6369.424,6226.088,6255.092,6557.63,6615.821,6787.81,6959.159,7406.125,1467.494,0.30019,1050.125,0.16522
445,Pierce,053,98403,"September 16, 2020",7842.108,7818.492,7831.752,7833.648,7844.464,7870.058,7934.671,7953.965,7918.115,7835.196,7713,7726.437,7747.637,7758.483,7784.058,7801.034,7916.933,7988.834,8184.689,8260.215,8272.537,-129.108,(    1.646%),559.537,0.07254
446,Pierce,053,98404,"September 16, 2020",30385.78,30514.034,30786.623,31015.694,31281.209,31607.401,32093.652,32399.72,32481.435,32367.458,32086,32315.22,32492.753,32621.187,32769.798,33218.88,33943.529,34342.853,34427.783,34682.823,34821.004,1700.22,0.05595,2735.004,0.08524
447,Pierce,053,98405,"September 16, 2020",22525.363,22527.07,22635.178,22710.795,22812.654,22958.024,23218.29,23346.919,23313.76,23141.216,22851,23028.015,23193.681,23259.918,23289.615,23409.433,23793.094,24049.693,24195.021,24443.74,24452.268,325.637,0.01446,1601.268,0.07007
448,Pierce,053,98406,"September 16, 2020",22247.601,22153.502,22163.817,22141.854,22144.986,22189.611,22343.831,22370.041,22241.113,21980.35,21610,21658.113,21663.143,21723.195,21691.66,21753.307,21966.798,22015.018,22048.562,22319.52,22588.416,-637.601,(    2.866%),978.416,0.04528
449,Pierce,053,98407,"September 16, 2020",20676.626,20569.275,20559.002,20518.399,20501.074,20521.954,20644.015,20647.431,20507.674,20246.566,19885,19954.157,20009.147,20286.741,20349.123,20586.829,21031.434,21565.242,21671.018,22048.903,22560.932,-791.626,(    3.829%),2675.932,0.13457
450,Pierce,053,98408,"September 16, 2020",18779.002,18758.432,18826.378,18867.21,18929.716,19028.156,19221.504,19305.548,19255.806,19091.197,18830,18826.617,18844.87,18859.035,18990.922,19032.496,19294.277,19478.81,19549.28,19673.293,19680.502,50.998,0.00272,850.502,0.04517
451,Pierce,053,98409,"September 16, 2020",22662.929,22664.511,22773.103,22849.042,22951.356,23097.45,23359.134,23488.386,23454.874,23281.132,22989,23013.546,23073.965,23378.751,23599.792,23801.951,24467.819,24788.906,24931.786,25270.539,25298.896,326.071,0.01439,2309.896,0.10048
452,Pierce,053,98416,"September 16, 2020",1218.034,1195.994,1179.556,1161.31,1144.297,1129.289,1119.605,1103.26,1079.242,1049.036,1014,967.852,975.139,900.03,917.212,968.877,1060.849,1086.516,1008.029,1021.586,1039.761,-204.034,(   16.751%),25.761,0.02541
453,Pierce,053,98418,"September 16, 2020",10490.593,10434.14,10426.853,10404.306,10393.499,10402.062,10461.821,10461.459,10388.545,10254.186,10069,10068.995,10074.642,10094.572,10087.586,10132.238,10268.19,10302.75,10277.764,10348.111,10350.836,-421.593,(    4.019%),281.836,0.02799
454,Pierce,053,98421,"September 16, 2020",603.03,672.58,745.507,817.66,891.134,966.86,1048.471,1125.098,1194.05,1255.006,1308,1307.815,1308.039,1307.691,1307.846,1333.537,1334.201,1335.746,1320.648,1338.87,1653.99,704.97,1.16905,345.99,0.26452
455,Pierce,053,98422,"September 16, 2020",19181.736,19252.304,19413.938,19548.047,19705.086,19900.272,20196.07,20378.352,20419.513,20337.752,20151,20155.346,20221.729,20253.026,20297.042,20414.911,20651.045,20774.654,20927.445,21129.227,21273.375,969.264,0.05053,1122.375,0.0557
456,Pierce,053,98424,"September 16, 2020",5625.982,6069.088,6541.725,7007.302,7483.126,7976.777,8516.934,9015.035,9451.22,9825.664,10140,10176.411,10197.464,10254.799,10386.399,10565.365,10935.7,11148.1,11161.041,11208.865,11271.246,4514.018,0.80235,1131.246,0.11156
457,Pierce,053,98430,"September 16, 2020",0,1.298,2.606,3.916,5.236,6.578,7.971,9.337,10.641,11.866,13,12.968,13.05,13.104,13.05,13.139,13.243,13.409,13.532,13.799,13.774,13,0,0.774,0.05954
458,Pierce,053,98433,"September 16, 2020",14625.036,14600.938,14645.741,14669.398,14709.88,14778.222,14920.155,14977.095,14930.266,14794.458,14584,18696.398,18704.195,17836.635,18170.592,17215.693,17980.248,17738.333,18438.148,18815.797,18717.016,-41.036,(    0.281%),4133.016,0.28339
459,Pierce,053,98438,"September 16, 2020",55.344,86.292,117.708,149.12,180.854,213.179,247.034,279.921,310.914,339.672,366,829.177,827.881,727.967,768.148,656.48,736.641,700.554,772.67,801.405,792.162,310.656,5.61318,426.162,1.16438
460,Pierce,053,98439,"September 16, 2020",10844.599,10230.022,9662.538,9077.963,8500.839,7935.026,7399.765,6813.889,6180.03,5516.488,4839,4836.181,4853.201,4857.944,4854.362,4864.273,4889.842,4919.516,4936.485,4973.614,4922.629,-6005.599,(   55.379%),83.629,0.01728
461,Pierce,053,98443,"September 16, 2020",5674.159,5636.128,5624.637,5604.868,5591.387,5588.261,5612.533,5604.445,5557.471,5477.719,5371,5370.186,5398.715,5401.438,5373.416,5388.959,5399.313,5449.033,5474.983,5533.783,5583.188,-303.159,(    5.343%),212.188,0.03951
462,Pierce,053,98444,"September 16, 2020",30544.811,30843.728,31288.859,31690.66,32130.506,32634.025,33305.266,33791.841,34044.646,34090.392,33956,33937.634,34047.98,34089.175,33959.584,34171.447,34461.718,34740.342,34930.662,35420.605,35609.913,3411.189,0.11168,1653.913,0.04871
463,Pierce,053,98445,"September 16, 2020",23601.229,24174.128,24862.31,25517.796,26205.565,26947.906,27833.575,28569.506,29108.173,29466.04,29661,29663.812,29938.383,30223.024,30469.866,30877.814,31266.298,31829.671,32146.921,32610.521,32844.921,6059.771,0.25676,3183.921,0.10734
464,Pierce,053,98446,"September 16, 2020",8593.281,8739.296,8926.856,9102.376,9289.123,9494.757,9750.054,9952.128,10085.433,10156.705,10173,10255.655,10375.009,10443.136,10411.595,10509.01,10577.352,10722.005,11177.159,12008.286,12310.045,1579.719,0.18383,2137.045,0.21007
465,Pierce,053,98447,"September 16, 2020",1357.039,1303.749,1256.51,1207.189,1158.998,1112.593,1070.962,1022.507,966.898,906.142,842,842,887,865,813,670,680,678,757,739,707,-515.039,(   37.953%),-135,(   16.033%)
466,Pierce,053,98465,"September 16, 2020",6511.157,6485.162,6489.736,6484.868,6487.349,6501.998,6548.798,6558.089,6521.902,6447.037,6340,6335.627,6364.028,6402.08,6433.998,6474.111,6592.251,6626.968,6652.031,6778.144,6878.629,-171.157,(    2.629%),538.629,0.08496
467,Pierce,053,98466,"September 16, 2020",25283.524,25414.792,25666.313,25881.688,26127.588,26424.375,26855.3,27135.809,27228.436,27156.756,26944,26974.746,27065.126,27115.041,27187.81,27439.817,27911.722,28072.594,28188.048,28291.454,28384.397,1660.476,0.06567,1440.397,0.05346
468,Pierce,053,98467,"September 16, 2020",13519.359,13621.579,13788.324,13935.805,14099.891,14291.667,14556.478,14740.187,14821.889,14813.768,14728,14725.233,14779.699,14816.735,14868.542,14962.342,15109.214,15343.515,15527.542,15743.461,15895.759,1208.641,0.0894,1167.759,0.07929
469,Pierce,053,98498,"September 16, 2020",29011.764,28825.717,28775.429,28682.846,28622.474,28615.21,28748.35,28715.835,28484.106,28084.3,27546,27467.254,27408.926,27448.682,27480.365,27511.814,27696.362,27934.702,27951.097,28033.431,27968.146,-1465.764,(    5.052%),422.146,0.01533
470,Pierce,053,98499,"September 16, 2020",30021.852,29953.679,30026.771,30056.441,30120.466,30241.378,30512.594,30609.827,30494.858,30198.405,29750,29851.897,29969.661,29987.008,30000.105,30018.426,30228.049,30471.401,30542.927,30801.549,31233.345,-271.852,(    0.906%),1483.345,0.04986
471,Pierce,053,98558,"September 16, 2020",222.082,218.774,216.492,213.882,211.505,209.504,208.501,206.27,202.603,197.768,192,191.781,192.34,192.704,192.334,192.944,193.659,198.576,202.261,195.824,196.367,-30.082,(   13.545%),4.367,0.02274
472,Pierce,053,98580,"September 16, 2020",9237.265,9410.579,9628.642,9833.799,10051.174,10289.097,10581.073,10815.49,10975.172,11067.197,11099,11119.01,11206.177,11287.485,11360.055,11518.524,11763.735,12104.171,12340.754,12534.551,12683.154,1861.735,0.20155,1584.154,0.14273
473,San Juan,055,98221,"September 16, 2020",120.017,119.001,117.402,114.563,112.17,110.376,108.223,105.413,102.942,100.182,97,101.987,105.91,105.616,107.236,107.096,111.967,113.206,116.377,119.007,120.438,-23.017,(   19.178%),23.438,0.24163
474,San Juan,055,98222,"September 16, 2020",56.008,54.293,52.293,49.736,47.379,45.268,43.004,40.48,38.096,35.614,33,35.918,39.672,39.546,41.091,41.055,42.405,43.155,43.211,43.718,45.002,-23.008,(   41.080%),12.002,0.3637
475,San Juan,055,98243,"September 16, 2020",394.15,409.881,423.907,433.506,444.684,458.335,470.651,480.019,490.818,500.114,507,510.289,511.783,513.747,512.182,515.437,519.428,525.404,529.157,538.545,545.617,112.85,0.28631,38.617,0.07617
476,San Juan,055,98245,"September 16, 2020",3045.508,3140.035,3221.218,3268.627,3328.091,3405.923,3473.589,3519.739,3576.433,3622.252,3651,3689.5,3697.526,3697.668,3716.886,3728.897,3768.57,3823.261,3885.309,3971.936,4040.008,605.492,0.19881,389.008,0.10655
477,San Juan,055,98250,"September 16, 2020",6898.983,7051.763,7173.607,7220.079,7293.479,7406.888,7497.809,7542.435,7609.999,7654.717,7664,7704.008,7687.758,7750.074,7796.048,7846.33,7920.905,7985.669,8156.415,8348.995,8433.594,765.017,0.11089,769.594,0.10042
478,San Juan,055,98261,"September 16, 2020",2178.312,2222.823,2257.522,2268.494,2287.945,2319.93,2344.852,2355.304,2372.938,2383.46,2383,2406.301,2421.437,2426.829,2443.768,2454.577,2466.893,2508.02,2548.274,2599.656,2621.537,204.688,0.09397,238.537,0.1001
479,San Juan,055,98279,"September 16, 2020",624.243,629.424,631.702,627.328,625.329,626.732,626.171,621.769,619.306,615.026,608,618.301,625.882,629.816,641.217,645.104,645.676,657.473,663.331,672.037,674.701,-16.243,(    2.602%),66.701,0.10971
480,San Juan,055,98280,"September 16, 2020",420.732,431.325,440.045,444.15,449.897,458.126,464.962,468.933,474.316,478.272,480,484.158,483.286,485.242,488.776,489.595,490.304,497.287,502.885,482.778,485.002,59.268,0.14087,5.002,0.01042
481,San Juan,055,98286,"September 16, 2020",235.033,238.104,240.092,239.563,239.931,241.607,242.534,241.973,242.158,241.624,240,243.237,244.396,244.433,244.258,243.248,245.058,246.818,254.274,261.313,261.83,4.967,0.02113,21.83,0.09096
482,San Juan,055,98297,"September 16, 2020",104.014,105.351,106.212,105.954,106.095,106.815,107.205,106.935,106.994,106.739,106,106.301,107.35,107.029,108.538,108.661,108.794,109.707,110.767,112.015,112.271,1.986,0.01909,6.271,0.05916
483,Skagit,057,98221,"September 16, 2020",18650.497,18795.973,19004.252,19063.966,19313.487,19497.792,19797.258,20032.536,20224.441,20356.393,20332,20446.166,20559.466,20717.528,20870.558,21042.001,21439.522,21777.709,22097.969,22839.528,23158.213,1681.503,0.09016,2826.213,0.139
484,Skagit,057,98229,"September 16, 2020",214.395,222.589,231.527,238.641,248.115,256.785,267.017,276.449,285.305,293.317,299,304.52,307.951,311.241,310.836,316.13,324.679,332.198,335.591,342.344,345.26,84.605,0.39462,46.26,0.15472
485,Skagit,057,98232,"September 16, 2020",3485.026,3524.297,3575.32,3598.361,3657.197,3703.751,3772.279,3828.694,3876.852,3913.53,3920,3943.148,3941.338,3935.457,3953.926,4009.825,4118.86,4228.931,4283.97,4406.207,4436.553,434.974,0.12481,516.553,0.13177
486,Skagit,057,98233,"September 16, 2020",12554.384,12770.722,13029.738,13186.501,13474.361,13717.305,14042.159,14322.604,14572.493,14779.159,14871,14894.419,14910.183,14911.548,14937.635,15033.706,15373.52,15537.576,15926.883,16165.42,16338.531,2316.616,0.18453,1467.531,0.09868
487,Skagit,057,98235,"September 16, 2020",124.01,121.762,119.917,117.148,115.547,113.542,112.184,110.433,108.428,106.104,103,102.932,102.396,101.488,101.532,100.645,102.559,104.219,105.195,103.865,104.047,-21.01,(   16.942%),1.047,0.01017
488,Skagit,057,98237,"September 16, 2020",3883.975,3893.309,3915.587,3907.349,3938.029,3955.32,3995.814,4023.16,4041.699,4048.3,4024,4036.667,4048.463,4051.394,4081.205,4127.518,4199.601,4282.583,4339.203,4423.887,4476.079,140.025,0.03605,452.079,0.11235
489,Skagit,057,98238,"September 16, 2020",70.005,71.42,73.071,74.15,75.965,77.529,79.556,81.334,82.939,84.299,85,84.952,85.065,83.049,82.642,82.004,83.304,84.455,85.119,86.102,86.229,14.995,0.2142,1.229,0.01446
490,Skagit,057,98241,"September 16, 2020",276.02,279.883,284.68,287.244,292.667,297.11,303.322,308.564,313.147,316.798,318,317.806,320.333,320.231,323.504,325.524,331.165,335.599,338.494,343.015,344.844,41.98,0.15209,26.844,0.08442
491,Skagit,057,98255,"September 16, 2020",264.821,262.524,261.099,257.645,256.763,254.995,254.703,253.54,251.812,249.338,245,244.191,244.191,247.432,248.638,248.638,248.638,244.518,244.58,244.58,241.261,-19.821,(    7.485%),-3.739,(    1.526%)
492,Skagit,057,98257,"September 16, 2020",3640.278,3685.227,3742.48,3770.419,3835.867,3888.452,3964.119,4027.102,4081.418,4123.638,4134,4129.042,4142.738,4145.383,4175.541,4208.094,4292.368,4387.108,4442.253,4529.555,4554.282,493.722,0.13563,420.282,0.10166
493,Skagit,057,98263,"September 16, 2020",80.565,80.011,79.726,78.819,78.7,78.308,78.371,78.169,77.792,77.187,76,76.542,76.542,76.542,76.493,76.486,77.091,77.073,76.907,79.849,79.849,-4.565,(    5.666%),3.849,0.05064
494,Skagit,057,98267,"September 16, 2020",499.149,502.035,506.588,507.183,512.834,516.749,523.708,528.956,533.057,535.58,534,536.946,537.468,540.676,545.58,550.866,566.648,581.842,588.347,598.264,602.055,34.851,0.06982,68.055,0.12744
495,Skagit,057,98273,"September 16, 2020",25296.331,25607.668,26004.449,26197.592,26651.392,27015.751,27540.539,27977.137,28353.528,28645.945,28717,28870.269,29028.785,29210.079,29472.438,29789.137,30099.553,30704.525,31266.68,31769.352,31938.42,3420.669,0.13522,3221.42,0.11218
496,Skagit,057,98274,"September 16, 2020",13488.659,13784.558,14126.577,14357.518,14731.112,15055.918,15471.028,15837.81,16171.036,16456.26,16613,16698.98,16891.04,17181.248,17484.853,17683.423,17895.339,18194.009,18644.551,18981.076,19194.016,3124.341,0.23163,2581.016,0.15536
497,Skagit,057,98283,"September 16, 2020",315.235,318.828,323.484,325.611,330.977,335.229,341.468,346.619,351.014,354.373,355,352.663,355.351,354.933,353.864,356.926,342.211,347.339,354.551,359.738,362.409,39.765,0.12614,7.409,0.02087
498,Skagit,057,98284,"September 16, 2020",20070.645,20260.368,20517.641,20614.457,20916.416,21147.94,21504.622,21791.927,22032.104,22207.066,22211,22296.864,22334.716,22347.833,22416.71,22604.629,22709.58,22814.226,23323.151,23859.933,24117.925,2140.355,0.10664,1906.925,0.08585
499,Skagit,057,98292,"September 16, 2020",65.005,64.826,64.864,64.396,64.571,64.524,64.853,64.966,64.935,64.713,64,63.893,63.974,63.938,64.045,64.448,65.362,66.09,66.556,67.285,70.027,-1.005,(    1.546%),6.027,0.09417
500,Skamania,059,98605,"September 16, 2020",526.334,516.974,509.516,500.516,496.215,494.811,494.569,487.426,477.417,467.787,459,460.619,460.305,460.279,459.37,459.785,461.668,463.896,468.76,467.931,470.297,-67.334,(   12.793%),11.297,0.02461
501,Skamania,059,98610,"September 16, 2020",2747.85,2746.233,2754.406,2753.946,2779.342,2821.743,2871.956,2882.773,2876.27,2871.317,2871,2876.232,2903.55,2903.887,2934.487,2943.282,2954.837,3022.807,3104.394,3143.961,3169.542,123.15,0.04482,298.542,0.10399
502,Skamania,059,98616,"September 16, 2020",11.009,13.64,16.304,18.899,21.669,24.615,27.694,30.42,32.948,35.459,38,42.307,42.254,43.905,43.829,45.517,47.336,47.65,52.633,54.584,54.601,26.991,2.45172,16.601,0.43687
503,Skamania,059,98639,"September 16, 2020",539.702,567.568,597.279,624.937,658.461,696.436,737.021,767.828,793.823,819.895,847,854.965,886.603,891.069,891.058,891.035,890.986,895.536,900.004,913.48,917.986,307.298,0.56938,70.986,0.08381
504,Skamania,059,98648,"September 16, 2020",2885.826,2892.57,2909.59,2917.42,2952.642,3006.045,3068.001,3087.956,3089.28,3092.182,3100,3149.922,3176.137,3174.777,3184.161,3204.926,3221.658,3253.019,3291.089,3362.227,3417.98,214.174,0.07422,317.98,0.10257
505,Skamania,059,98651,"September 16, 2020",865.715,868.636,874.637,877.871,889.348,906.31,925.881,932.79,934.052,935.787,939,947.064,956.686,958.852,965.955,972.421,976.031,986.947,1008.738,1015.36,1029.301,73.285,0.08465,90.301,0.09617
506,Skamania,059,98671,"September 16, 2020",2234.582,2269.923,2313.139,2348.852,2406.637,2479.67,2560.479,2606.579,2636.763,2667.912,2703,2707.799,2735.941,2752.349,2776.474,2798.745,2827.536,2896.578,2937.707,2973.92,3031.741,468.418,0.20962,328.741,0.12162
507,Skamania,059,98672,"September 16, 2020",59.981,64.56,69.334,73.866,79.09,84.868,90.992,95.923,100.245,104.561,109,111.092,113.524,114.882,114.666,114.289,119.948,123.567,126.675,128.537,128.552,49.019,0.81724,19.552,0.17938
